"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login with the wrong and not spected users","","1","0","6","0","0"
"","Accessing the web page correct user.","","1","0","9","0","0"
"","Checking All Items page.","","0","0","1","0","1"
"","Filling customer data in Checkout.","","3","0","4","0","1"
"","Login the correct user.","","0","0","4","0","0"
"","Products interaction correct user.","","3","0","18","0","0"
"","Login the slow user.","","1","0","2","0","0"
"","Login the problem user.","","0","0","4","0","0"
"","Login the locked out user.","","0","0","4","0","0"
"","Complete checkout Page.","","0","0","1","0","0"
"","Checking About page.","","1","0","0","0","1"
"","Checking Log Out button.","","0","0","0","0","1"
"","Checking Sidebar page.","","0","0","1","0","0"
"","Cancel button.","","0","0","1","0","0"
"","Finish button test - correct purchase.","","0","0","3","0","0"
"","Footer (Social Networks) Test","","0","0","3","0","0"
"","Footer, social network.","","1","0","2","0","0"
"","Accessing the webpage.","","0","0","3","0","0"
"","Back Home button","","1","0","0","0","0"
"","Verify purchase information is shown in the Complete Checkout Page","","1","0","0","0","0"
